,R
0,1.0
1,1.0
2,2.0
3,2.0
4,2.0
5,2.0
6,3.0
7,1.0
8,3.0
9,3.0
10,3.0
11,1.0
12,3.0
13,1.0
14,1.0
15,1.0
16,2.0
17,2.0
18,2.0
19,2.0
20,2.0
21,3.0
22,3.0
23,2.0
24,3.0
25,1.0
26,3.0
27,3.0
28,1.0
29,2.0
30,2.0
31,1.0
32,2.0
33,2.0
34,3.0
35,3.0
36,1.0
37,3.0
38,1.0
39,2.0
40,1.0
41,2.0
42,1.0
43,2.0
44,3.0
45,3.0
46,2.0
47,3.0
48,3.0
49,3.0
50,3.0
51,2.0
52,1.0
53,1.0
54,2.0
55,3.0
56,1.0
57,2.0
58,2.0
59,3.0
60,3.0
61,1.0
62,3.0
63,3.0
64,3.0
65,3.0
66,3.0
67,2.0
68,2.0
69,1.0
70,3.0
71,2.0
72,3.0
73,3.0
74,2.0
75,2.0
76,3.0
77,3.0
78,1.0
79,3.0
80,2.0
81,1.0
82,1.0
83,3.0
84,1.0
85,1.0
86,2.0
87,3.0
88,3.0
89,3.0
90,3.0
91,3.0
92,2.0
93,3.0
94,1.0
95,3.0
96,2.0
97,3.0
98,1.0
99,2.0
100,3.0
101,1.0
102,2.0
103,1.0
104,1.0
105,2.0
106,1.0
107,3.0
108,1.0
109,1.0
110,2.0
111,3.0
112,1.0
113,2.0
114,2.0
115,2.0
116,2.0
117,2.0
118,2.0
119,2.0
120,1.0
121,1.0
122,3.0
123,1.0
124,1.0
125,2.0
126,1.0
127,3.0
128,2.0
129,2.0
130,1.0
131,2.0
132,1.0
133,1.0
134,3.0
135,2.0
136,1.0
137,3.0
138,3.0
139,2.0
140,3.0
141,2.0
142,1.0
143,3.0
144,3.0
145,2.0
146,2.0
147,1.0
148,1.0
149,3.0
150,1.0
151,3.0
152,2.0
153,1.0
154,1.0
155,2.0
156,2.0
157,3.0
158,3.0
159,1.0
160,2.0
161,3.0
162,2.0
163,3.0
164,1.0
165,1.0
166,1.0
167,2.0
168,3.0
169,1.0
170,2.0
171,2.0
172,2.0
173,1.0
174,3.0
175,2.0
176,1.0
177,3.0
178,3.0
179,2.0
180,3.0
181,3.0
182,1.0
183,1.0
184,3.0
185,1.0
186,2.0
187,2.0
188,1.0
189,2.0
190,3.0
191,3.0
192,1.0
193,1.0
194,2.0
195,1.0
196,3.0
197,3.0
198,2.0
199,2.0
200,1.0
201,1.0
202,1.0
203,2.0
204,1.0
205,3.0
206,1.0
207,1.0
208,1.0
209,3.0
210,1.0
211,3.0
212,1.0
213,2.0
214,3.0
215,2.0
216,2.0
217,3.0
218,3.0
219,3.0
220,1.0
221,2.0
222,2.0
223,1.0
224,3.0
225,2.0
226,3.0
227,3.0
228,3.0
229,3.0
230,2.0
231,1.0
232,3.0
233,1.0
234,1.0
235,1.0
236,3.0
237,2.0
238,2.0
239,2.0
240,3.0
241,3.0
242,1.0
243,2.0
244,1.0
245,3.0
246,3.0
247,2.0
248,1.0
249,1.0
250,2.0
251,1.0
252,3.0
253,1.0
254,3.0
255,3.0
256,2.0
257,3.0
258,1.0
259,3.0
260,1.0
261,1.0
262,1.0
263,1.0
264,3.0
265,2.0
266,3.0
267,1.0
268,3.0
269,1.0
270,3.0
271,3.0
272,2.0
273,3.0
274,3.0
275,1.0
276,1.0
277,3.0
278,2.0
279,3.0
280,1.0
281,2.0
282,2.0
283,3.0
284,3.0
285,2.0
286,2.0
287,2.0
288,2.0
289,3.0
290,1.0
291,3.0
292,2.0
293,1.0
294,1.0
295,1.0
296,3.0
297,2.0
298,3.0
299,1.0
300,2.0
301,3.0
302,3.0
303,2.0
304,3.0
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,2.0
312,2.0
313,3.0
314,2.0
315,3.0
316,2.0
317,3.0
318,3.0
319,1.0
320,1.0
321,2.0
322,1.0
323,2.0
324,3.0
325,3.0
326,2.0
327,1.0
328,2.0
329,1.0
330,1.0
331,3.0
332,1.0
333,1.0
334,2.0
335,3.0
336,1.0
337,1.0
338,3.0
339,3.0
340,3.0
341,2.0
342,1.0
343,3.0
344,3.0
345,1.0
346,2.0
347,2.0
348,2.0
349,3.0
350,1.0
351,2.0
352,3.0
353,2.0
354,2.0
355,2.0
356,1.0
357,3.0
358,3.0
359,3.0
360,1.0
361,1.0
362,2.0
363,3.0
364,3.0
365,1.0
366,3.0
367,1.0
368,2.0
369,2.0
370,1.0
371,1.0
372,3.0
373,1.0
374,2.0
375,1.0
376,2.0
377,3.0
378,3.0
379,3.0
380,2.0
381,1.0
382,2.0
383,3.0
384,1.0
385,1.0
386,3.0
387,1.0
388,2.0
389,3.0
390,1.0
391,2.0
392,2.0
393,3.0
394,3.0
395,2.0
396,3.0
397,1.0
398,2.0
399,1.0
400,3.0
401,3.0
402,1.0
403,2.0
404,2.0
405,3.0
406,1.0
407,1.0
408,1.0
409,2.0
410,2.0
411,3.0
412,3.0
413,1.0
414,3.0
415,3.0
416,2.0
417,2.0
418,1.0
419,2.0
