,level_0,index,0,Unidade
0,0,time,0.0,time
1,1,Corrente do motor - Fase A,3.597249058842185e-05,A
2,2,Corrente do motor - Fase B,3.597249058842185e-05,A
3,3,Corrente do motor - Fase C,3.597249058842185e-05,A
4,4,Frequência do AVV,3.597249058842185e-05,Hz
5,5,Temperatura do motor da BCS,0.10207451150826045,ºC
6,6,Pressão diferencial da BCS,3.597249058842185e-05,Bar
7,7,Pressão na Entrada da BCS,0.08019295937604613,Bar
8,8,Fração de água @ ,0.10043739612025677,%
9,9,Temperatura na Entrada da BCS,0.07892364435099754,ºC
10,10,Pressão de Descarga da BCS,0.07908735588979791,Bar
11,11,Sensor de temperatura na descarga da BCS,0.24416291280268282,ºC
12,12,Abertura da Válvula,0.008370578320187469,%
13,13,Pressão na Cabeça do Poço,0.008370578320187469,Bar
14,14,Temperatura na Cabeça do Poço,0.008370578320187469,ºC
15,15,Poço Alinhado a A,0.008370578320187469,bool
16,16,Poço Alinhado a b,0.5526167417439464,bool
17,17,Tensão do Motor da BCS,3.597249058842185e-05,V
18,18,Vibração da BCS em X,0.006132942579095431,g
19,19,Vibração da BCS em Y,0.006132942579095431,g
20,20,Corrida do Poço,0.0,str
21,21,Poço desativado,0.0,str
